"Name","Team","G","AB","PA","H","1B","2B","3B","HR","R","RBI","BB","IBB","SO","HBP","SF","SH","GDP","SB","CS","AVG","Z-Swing%","O-Swing%","RE24","wOBA","playerid"
"Amed Rosario","CLE","153","637","670","180","134","26","9","11","86","71","25","0","111","4","4","0","19","18","4",".283","68.4%","42.5%","6.31",".311","15518"
"Bobby Witt Jr.","KCR","150","591","632","150","93","31","6","20","82","80","30","2","135","6","5","0","12","30","7",".254","73.1%","37.3%","-6.33",".311","25764"
"MJ Melendez","KCR","129","460","534","100","58","21","3","18","57","62","66","1","131","1","7","0","2","2","3",".217","68.7%","27.8%","-4.00",".310","22197"
"Elvis Andrus","- - -","149","535","577","133","84","32","0","17","66","58","39","0","92","3","0","0","11","18","4",".249","63.0%","32.8%","1.05",".310","8709"
"Alec Bohm","PHI","152","586","631","164","124","24","3","13","79","72","31","1","110","4","10","0","18","2","3",".280","73.8%","35.4%","3.66",".310","21618"
"Jeremy Pena","HOU","136","521","558","132","88","20","2","22","72","63","22","0","135","6","5","1","5","11","2",".253","76.6%","41.0%","4.74",".309","21636"
"Andrew McCutchen","MIL","134","515","580","122","80","25","0","17","66","69","57","1","124","4","4","0","10","8","6",".237","71.6%","24.9%","0.17",".309","9847"
"Kyle Farmer","CIN","145","526","583","134","94","25","1","14","58","78","33","0","99","16","6","2","20","4","3",".255","66.3%","38.8%","-1.97",".309","14813"
"Carlos Santana","- - -","131","431","506","87","50","18","0","19","52","60","71","2","88","2","2","0","9","0","0",".202","66.6%","25.7%","9.15",".308","2396"
"Lane Thomas","WSN","146","498","548","120","75","26","2","17","62","52","41","0","132","4","5","0","8","8","4",".241","63.3%","29.5%","-9.90",".308","16939"
"Mike Yastrzemski","SFG","148","485","558","104","54","31","2","17","73","57","61","0","141","5","6","1","3","5","1",".214","64.0%","25.4%","-5.18",".307","14854"
"J.P. Crawford","SEA","145","518","603","126","93","24","3","6","57","42","68","0","80","10","5","2","11","3","2",".243","63.0%","24.3%","-4.51",".306","15491"
"Nick Castellanos","PHI","136","524","558","138","98","27","0","13","56","62","29","0","130","3","2","0","15","7","1",".263","77.9%","43.6%","-9.36",".304","11737"
"Tommy Pham","- - -","144","554","622","131","90","23","1","17","89","63","56","0","167","7","5","0","20","8","3",".236","62.8%","25.5%","-9.84",".304","2967"
"Josh Donaldson","NYY","132","478","546","106","63","28","0","15","59","62","54","1","148","8","6","0","13","2","2",".222","69.1%","32.7%","4.87",".302","5038"
"Marcell Ozuna","ATL","124","470","507","106","64","19","0","23","56","56","31","0","122","2","4","0","12","2","1",".226","69.9%","36.1%","-24.91",".298","10324"
"A.J. Pollock","CHW","138","489","527","120","79","26","1","14","61","56","32","0","98","2","4","0","13","3","1",".245","76.1%","37.9%","-10.57",".297","9256"
"Ke'Bryan Hayes","PIT","136","505","560","123","89","24","3","7","55","41","48","0","122","5","2","0","12","20","5",".244","63.5%","30.0%","-10.89",".294","18577"
"Whit Merrifield","- - -","139","504","550","126","86","28","1","11","70","58","38","0","85","0","8","0","11","16","5",".250","71.5%","35.0%","-1.77",".294","11281"
"Nelson Cruz","WSN","124","448","507","105","79","16","0","10","50","64","49","1","119","4","3","0","16","4","0",".234","74.8%","35.2%","1.62",".292","2434"
"Javier Baez","DET","144","555","590","132","84","27","4","17","64","67","26","1","147","6","3","0","13","9","2",".238","69.1%","48.7%","-5.10",".291","12979"
"Jesus Aguilar","- - -","129","464","507","109","74","19","0","16","39","51","28","1","119","4","5","0","8","1","0",".235","65.7%","38.9%","-8.47",".288","11342"
"Tony Kemp","OAK","147","497","558","117","84","24","2","7","61","46","45","0","69","8","3","5","5","11","1",".235","68.2%","33.0%","5.39",".287","14894"
"Isiah Kiner-Falefa","NYY","142","483","531","126","102","20","0","4","66","48","35","2","72","5","5","3","13","22","4",".261","59.6%","33.1%","1.76",".285","16512"
"Yuli Gurriel","HOU","146","545","584","132","84","40","0","8","53","53","30","0","73","6","3","0","13","8","0",".242","65.3%","37.9%","-16.48",".285","19198"
"Cody Bellinger","LAD","144","504","550","106","57","27","3","19","70","68","38","0","150","2","6","0","7","14","3",".210","70.5%","34.5%","-12.02",".284","15998"
"Cesar Hernandez","WSN","147","560","617","139","106","28","4","1","64","34","45","0","114","7","2","3","9","10","4",".248","70.7%","29.3%","-17.13",".283","10556"
"Jorge Mateo","BAL","150","494","533","109","64","25","7","13","63","50","27","0","147","5","2","3","8","35","9",".221","72.8%","39.4%","-17.21",".281","17273"
"Trent Grisham","SDP","152","451","524","83","48","16","2","17","58","53","57","1","150","7","2","7","3","7","1",".184","58.1%","23.0%","-7.47",".280","18564"
"Adam Frazier","SEA","156","541","602","129","100","22","4","3","61","42","46","1","73","5","6","4","15","11","6",".238","70.0%","32.7%","-20.72",".274","15223"
"Miguel Rojas","MIA","140","471","507","111","84","19","2","6","34","36","26","1","61","6","3","1","12","9","3",".236","66.8%","34.4%","-12.15",".268","7802"
"Myles Straw","CLE","152","535","596","118","93","22","3","0","72","32","54","0","87","1","4","2","4","21","1",".221","59.9%","23.4%","-28.50",".257","17620"
"Jonathan Schoop","DET","131","481","510","97","62","23","1","11","48","38","19","1","107","6","4","0","15","5","0",".202","76.8%","40.8%","-32.22",".245","11265"
